"sim","w","d","cr","t","o","h","pre","pro","inv","n_ticks"
1,20,58.55769,1,35.02053,2,4,51.94701,69.30432,65.55665,201
2,18,77.09986,2,26.62583,1,4,37.19846,66.2571,74.04695,201
3,18,63.7087,3,31.63264,1,5,29.29393,70.21281,59.63079,201
4,20,64.36257,3,27.18569,2,5,48.50897,76.9759,57.05743,201
5,18,66.178,0,28.51344,1,5,60.42194,65.5597,57.21704,201
6,20,70.31019,2,27.04157,1,4,50.30923,72.99295,83.12197,201
7,18,74.88031,2,28.34729,0,5,53.22596,80.85257,40.12928,201
8,18,68.85356,1,26.26414,1,5,29.63781,82.01764,43.303,201
9,26,70.38311,0,30.98349,2,5,64.01096,72.58249,61.05895,201
10,19,63.37284,0,31.20397,2,5,41.7073,67.68257,70.663,201
11,22,66.39752,1,28.3695,2,5,56.2548,74.5817,65.3896,201
12,22,66.12981,3,29.54566,2,3,43.11991,82.72307,65.50424,201
13,22,68.77724,1,30.56414,2,5,40.88168,72.62833,58.92812,201
14,21,62.5815,3,27.54371,0,4,45.6603,83.0283,64.72314,201
15,23,71.03114,3,31.18537,1,3,59.61273,78.715,64.50529,201
16,20,67.44671,2,26.44777,1,4,43.92897,70.69635,65.66385,201
17,21,70.95392,3,29.53058,1,3,70.20474,85.8752,70.37733,201
18,19,73.00702,0,30.12906,1,4,35.77183,76.76797,68.04381,201
19,21,76.10734,1,32.82575,0,5,48.07784,70.01562,78.18198,201
20,20,75.2028,1,35.08676,2,4,27.09625,69.9162,66.38349,201
21,20,77.85767,1,29.15643,1,5,47.85726,74.91908,62.62937,201
22,20,63.70123,2,30.08637,0,3,48.81643,80.92211,64.21802,201
23,16,64.6907,1,33.07503,0,5,56.75081,77.66695,59.259,201
24,24,64.27673,3,33.01211,2,4,47.54193,71.26855,55.7032,201
25,22,71.09583,2,28.78459,1,5,31.81477,78.66516,71.71663,201
26,20,72.82231,2,29.82497,2,5,72.28669,72.1984,64.41609,201
27,21,71.09575,2,30.13715,2,4,50.57015,77.34117,70.02902,201
28,18,85.9488,1,32.78388,0,5,38.3244,77.38554,51.5465,201
